"code","phecode_unrolled"
"217","217"
"217.1","217.1"
"217.1","217"
"218","218"
"220","220"
"221","221"
"222","222"
"223","223"
"224","224"
"224.1","224.1"
"224.1","224"
"225","225"
"225.1","225.1"
"225.1","225"
"225.2","225.2"
"225.2","225"
"226","226"
"227","227"
"227.1","227.1"
"227.1","227"
"227.3","227.3"
"227.3","227"
"228","228"
"228.1","228.1"
"228.1","228"
"228.2","228.2"
"228.2","228"
"229","229"
"229.1","229.1"
"229.1","229"
"230","230"
"240","240"
"241","241"
"241.1","241.1"
"241.1","241"
"241.2","241.2"
"241.2","241"
"242","242"
"242.1","242.1"
"242.1","242"
"242.2","242.2"
"242.2","242"
"242.3","242.3"
"242.3","242"
"244","244"
"244.1","244.1"
"244.1","244"
"244.2","244.2"
"244.2","244"
"244.4","244.4"
"244.4","244"
"244.5","244.5"
"244.5","244"
"245","245"
"245.1","245.1"
"245.1","245"
"245.2","245.2"
"245.2","245"
"245.21","245.21"
"245.21","245.2"
"245.21","245"
"246","246"
"246.2","246.2"
"246.2","246"
"246.7","246.7"
"246.7","246"
"249","249"
"250","250"
"250.1","250.1"
"250.1","250"
"250.11","250.11"
"250.11","250.1"
"250.11","250"
"250.12","250.12"
"250.12","250.1"
"250.12","250"
"250.14","250.14"
"250.14","250.1"
"250.14","250"
"250.2","250.2"
"250.2","250"
"250.21","250.21"
"250.21","250.2"
"250.21","250"
"250.22","250.22"
"250.22","250.2"
"250.22","250"
"250.3","250.3"
"250.3","250"
"250.4","250.4"
"250.4","250"
"250.41","250.41"
"250.41","250.4"
"250.41","250"
"250.42","250.42"
"250.42","250.4"
"250.42","250"
"250.5","250.5"
"250.5","250"
"250.7","250.7"
"250.7","250"
"251","251"
"251.1","251.1"
"251.1","251"
"252","252"
"252.1","252.1"
"252.1","252"
"252.2","252.2"
"252.2","252"
"253","253"
"253.1","253.1"
"253.1","253"
"253.11","253.11"
"253.11","253.1"
"253.11","253"
"253.2","253.2"
"253.2","253"
"253.3","253.3"
"253.3","253"
"253.4","253.4"
"253.4","253"
"253.5","253.5"
"253.5","253"
"253.7","253.7"
"253.7","253"
"254","254"
"255","255"
"255.1","255.1"
"255.1","255"
"255.11","255.11"
"255.11","255.1"
"255.11","255"
"255.12","255.12"
"255.12","255.1"
"255.12","255"
"255.2","255.2"
"255.2","255"
"255.21","255.21"
"255.21","255.2"
"255.21","255"
"255.22","255.22"
"255.22","255.2"
"255.22","255"
"255.3","255.3"
"255.3","255"
"256","256"
"256.4","256.4"
"256.4","256"
"257","257"
"257.1","257.1"
"257.1","257"
"258","258"
"259","259"
"259.1","259.1"
"259.1","259"
"259.3","259.3"
"259.3","259"
"259.4","259.4"
"259.4","259"
"259.8","259.8"
"259.8","259"
"260","260"
"260.1","260.1"
"260.1","260"
"260.2","260.2"
"260.2","260"
"260.21","260.21"
"260.21","260.2"
"260.21","260"
"260.22","260.22"
"260.22","260.2"
"260.22","260"
"260.3","260.3"
"260.3","260"
"260.6","260.6"
"260.6","260"
"260.7","260.7"
"260.7","260"
"261","261"
"261.1","261.1"
"261.1","261"
"261.2","261.2"
"261.2","261"
"261.3","261.3"
"261.3","261"
"261.4","261.4"
"261.4","261"
"261.41","261.41"
"261.41","261.4"
"261.41","261"
"262","262"
"263","263"
"264","264"
"264.1","264.1"
"264.1","264"
"264.2","264.2"
"264.2","264"
"264.3","264.3"
"264.3","264"
"264.9","264.9"
"264.9","264"
"269","269"
"270","270"
"270.1","270.1"
"270.1","270"
"270.11","270.11"
"270.11","270.1"
"270.11","270"
"270.12","270.12"
"270.12","270.1"
"270.12","270"
"270.2","270.2"
"270.2","270"
"270.21","270.21"
"270.21","270.2"
"270.21","270"
"270.3","270.3"
"270.3","270"
"270.33","270.33"
"270.33","270.3"
"270.33","270"
"270.34","270.34"
"270.34","270.3"
"270.34","270"
"270.38","270.38"
"270.38","270.3"
"270.38","270"
"271","271"
"271.3","271.3"
"271.3","271"
"271.9","271.9"
"271.9","271"
"272","272"
"272.1","272.1"
"272.1","272"
"272.11","272.11"
"272.11","272.1"
"272.11","272"
"272.12","272.12"
"272.12","272.1"
"272.12","272"
"272.13","272.13"
"272.13","272.1"
"272.13","272"
"272.9","272.9"
"272.9","272"
"274","274"
"275","275"
"275.1","275.1"
"275.1","275"
"275.11","275.11"
"275.11","275.1"
"275.11","275"
"275.2","275.2"
"275.2","275"
"275.3","275.3"
"275.3","275"
"275.5","275.5"
"275.5","275"
"275.51","275.51"
"275.51","275.5"
"275.51","275"
"275.53","275.53"
"275.53","275.5"
"275.53","275"
"275.6","275.6"
"275.6","275"
"276","276"
"276.1","276.1"
"276.1","276"
"276.11","276.11"
"276.11","276.1"
"276.11","276"
"276.12","276.12"
"276.12","276.1"
"276.12","276"
"276.13","276.13"
"276.13","276.1"
"276.13","276"
"276.14","276.14"
"276.14","276.1"
"276.14","276"
"276.4","276.4"
"276.4","276"
"276.41","276.41"
"276.41","276.4"
"276.41","276"
"276.42","276.42"
"276.42","276.4"
"276.42","276"
"276.5","276.5"
"276.5","276"
"276.6","276.6"
"276.6","276"
"276.8","276.8"
"276.8","276"
"277","277"
"277.1","277.1"
"277.1","277"
"277.4","277.4"
"277.4","277"
"277.5","277.5"
"277.5","277"
"277.51","277.51"
"277.51","277.5"
"277.51","277"
"277.6","277.6"
"277.6","277"
"277.7","277.7"
"277.7","277"
"277.8","277.8"
"277.8","277"
"278","278"
"278.1","278.1"
"278.1","278"
"278.11","278.11"
"278.11","278.1"
"278.11","278"
"278.3","278.3"
"278.3","278"
"278.4","278.4"
"278.4","278"
"279","279"
"279.1","279.1"
"279.1","279"
"279.11","279.11"
"279.11","279.1"
"279.11","279"
"279.111","279.111"
"279.111","279.11"
"279.111","279.1"
"279.111","279"
"279.112","279.112"
"279.112","279.11"
"279.112","279.1"
"279.112","279"
"279.113","279.113"
"279.113","279.11"
"279.113","279.1"
"279.113","279"
"279.114","279.114"
"279.114","279.11"
"279.114","279.1"
"279.114","279"
"279.115","279.115"
"279.115","279.11"
"279.115","279.1"
"279.115","279"
"279.116","279.116"
"279.116","279.11"
"279.116","279.1"
"279.116","279"
"279.117","279.117"
"279.117","279.11"
"279.117","279.1"
"279.117","279"
"279.118","279.118"
"279.118","279.11"
"279.118","279.1"
"279.118","279"
"279.2","279.2"
"279.2","279"
"279.7","279.7"
"279.7","279"
"279.8","279.8"
"279.8","279"
"280","280"
"280.1","280.1"
"280.1","280"
"280.2","280.2"
"280.2","280"
"281","281"
"281.1","281.1"
"281.1","281"
"281.12","281.12"
"281.12","281.1"
"281.12","281"
"281.9","281.9"
"281.9","281"
"282","282"
"282.5","282.5"
"282.5","282"
"282.8","282.8"
"282.8","282"
"282.9","282.9"
"282.9","282"
"283","283"
"283.1","283.1"
"283.1","283"
"283.2","283.2"
"283.2","283"
"283.21","283.21"
"283.21","283.2"
"283.21","283"
"284","284"
"284.1","284.1"
"284.1","284"
"284.2","284.2"
"284.2","284"
"285","285"
"285.1","285.1"
"285.1","285"
"285.2","285.2"
"285.2","285"
"285.21","285.21"
"285.21","285.2"
"285.21","285"
"285.22","285.22"
"285.22","285.2"
"285.22","285"
"285.8","285.8"
"285.8","285"
"286","286"
"286.1","286.1"
"286.1","286"
"286.11","286.11"
"286.11","286.1"
"286.11","286"
"286.12","286.12"
"286.12","286.1"
"286.12","286"
"286.13","286.13"
"286.13","286.1"
"286.13","286"
"286.14","286.14"
"286.14","286.1"
"286.14","286"
"286.15","286.15"
"286.15","286.1"
"286.15","286"
"286.2","286.2"
"286.2","286"
"286.4","286.4"
"286.4","286"
"286.5","286.5"
"286.5","286"
"286.6","286.6"
"286.6","286"
"286.7","286.7"
"286.7","286"
"286.8","286.8"
"286.8","286"
"286.81","286.81"
"286.81","286.8"
"286.81","286"
"286.9","286.9"
"286.9","286"
"287","287"
"287.1","287.1"
"287.1","287"
"287.2","287.2"
"287.2","287"
"287.3","287.3"
"287.3","287"
"287.31","287.31"
"287.31","287.3"
"287.31","287"
"287.311","287.311"
"287.311","287.31"
"287.311","287.3"
"287.311","287"
"287.312","287.312"
"287.312","287.31"
"287.312","287.3"
"287.312","287"
"287.313","287.313"
"287.313","287.31"
"287.313","287.3"
"287.313","287"
"287.314","287.314"
"287.314","287.31"
"287.314","287.3"
"287.314","287"
"287.315","287.315"
"287.315","287.31"
"287.315","287.3"
"287.315","287"
"287.32","287.32"
"287.32","287.3"
"287.32","287"
"287.4","287.4"
"287.4","287"
"288","288"
"288.1","288.1"
"288.1","288"
"288.11","288.11"
"288.11","288.1"
"288.11","288"
"288.111","288.111"
"288.111","288.11"
"288.111","288.1"
"288.111","288"
"288.112","288.112"
"288.112","288.11"
"288.112","288.1"
"288.112","288"
"288.113","288.113"
"288.113","288.11"
"288.113","288.1"
"288.113","288"
"288.114","288.114"
"288.114","288.11"
"288.114","288.1"
"288.114","288"
"288.115","288.115"
"288.115","288.11"
"288.115","288.1"
"288.115","288"
"288.116","288.116"
"288.116","288.11"
"288.116","288.1"
"288.116","288"
"288.2","288.2"
"288.2","288"
"288.3","288.3"
"288.3","288"
"289","289"
"289.3","289.3"
"289.3","289"
"289.4","289.4"
"289.4","289"
"289.5","289.5"
"289.5","289"
"289.8","289.8"
"289.8","289"
"289.9","289.9"
"289.9","289"
"290","290"
"290.1","290.1"
"290.1","290"
"290.2","290.2"
"290.2","290"
"290.3","290.3"
"290.3","290"
"291","291"
"291.1","291.1"
"291.1","291"
"291.4","291.4"
"291.4","291"
"291.8","291.8"
"291.8","291"
"292","292"
"292.1","292.1"
"292.1","292"
"292.11","292.11"
"292.11","292.1"
"292.11","292"
"292.12","292.12"
"292.12","292.1"
"292.12","292"
"292.2","292.2"
"292.2","292"
"292.3","292.3"
"292.3","292"
"292.4","292.4"
"292.4","292"
"292.5","292.5"
"292.5","292"
"292.6","292.6"
"292.6","292"
"293","293"
"293.1","293.1"
"293.1","293"
"295","295"
"295.1","295.1"
"295.1","295"
"295.2","295.2"
"295.2","295"
"295.3","295.3"
"295.3","295"
"296","296"
"296.1","296.1"
"296.1","296"
"296.2","296.2"
"296.2","296"
"296.22","296.22"
"296.22","296.2"
"296.22","296"
"297","297"
"297.1","297.1"
"297.1","297"
"297.2","297.2"
"297.2","297"
"300","300"
"300.1","300.1"
"300.1","300"
"300.11","300.11"
"300.11","300.1"
"300.11","300"
"300.12","300.12"
"300.12","300.1"
"300.12","300"
"300.13","300.13"
"300.13","300.1"
"300.13","300"
"300.3","300.3"
"300.3","300"
"300.4","300.4"
"300.4","300"
"300.8","300.8"
"300.8","300"
"300.9","300.9"
"300.9","300"
"301","301"
"301.1","301.1"
"301.1","301"
"301.2","301.2"
"301.2","301"
"302","302"
"303","303"
"303.1","303.1"
"303.1","303"
"303.3","303.3"
"303.3","303"
"303.31","303.31"
"303.31","303.3"
"303.31","303"
"303.4","303.4"
"303.4","303"
"304","304"
"305","305"
"305.1","305.1"
"305.1","305"
"305.2","305.2"
"305.2","305"
"306","306"
"306.1","306.1"
"306.1","306"
"306.9","306.9"
"306.9","306"
"312","312"
"312.1","312.1"
"312.1","312"
"312.3","312.3"
"312.3","312"
"313","313"
"313.1","313.1"
"313.1","313"
"313.2","313.2"
"313.2","313"
"313.3","313.3"
"313.3","313"
"315","315"
"315.1","315.1"
"315.1","315"
"315.11","315.11"
"315.11","315.1"
"315.11","315"
"315.12","315.12"
"315.12","315.1"
"315.12","315"
"315.13","315.13"
"315.13","315.1"
"315.13","315"
"315.2","315.2"
"315.2","315"
"315.21","315.21"
"315.21","315.2"
"315.21","315"
"315.22","315.22"
"315.22","315.2"
"315.22","315"
"315.23","315.23"
"315.23","315.2"
"315.23","315"
"315.24","315.24"
"315.24","315.2"
"315.24","315"
"315.3","315.3"
"315.3","315"
"315.31","315.31"
"315.31","315.3"
"315.31","315"
"315.32","315.32"
"315.32","315.3"
"315.32","315"
"315.33","315.33"
"315.33","315.3"
"315.33","315"
"315.4","315.4"
"315.4","315"
"316","316"
"316.1","316.1"
"316.1","316"
"317","317"
"317.1","317.1"
"317.1","317"
"318","318"
"320","320"
"320.1","320.1"
"320.1","320"
"320.2","320.2"
"320.2","320"
"320.3","320.3"
"320.3","320"
"320.4","320.4"
"320.4","320"
"323","323"
"323.2","323.2"
"323.2","323"
"323.8","323.8"
"323.8","323"
"324","324"
"325","325"
"327","327"
"327.1","327.1"
"327.1","327"
"327.3","327.3"
"327.3","327"
"327.31","327.31"
"327.31","327.3"
"327.31","327"
